ticker,market,trade_date,close,ret_5d,ret_10d,max_abs
MSFT,US,2026-07-23,380.863,0.1822,0.31,0.3099742879054279
MSFT,US,2026-07-24,380.9828,0.2175,0.3099,0.3099029200871992
MSFT,US,2026-07-27,388.3689,0.2533,0.3006,0.3005911014804883
BTC-USD,Crypto,2026-01-26,88267.1406,-0.1093,-0.2896,0.28963261739000057
MSFT,US,2026-07-28,392.6109,0.2529,0.2808,0.28081859459183844
MSFT,US,2026-07-29,389.8062,0.2482,0.2609,0.2608951623516451
MSFT,US,2026-07-22,389.6066,0.0005,0.2488,0.24880869090882896
MSFT,US,2026-07-21,397.0026,-0.0111,0.239,0.23899441170723423
BTC-USD,Crypto,2026-01-28,89184.5703,-0.1177,-0.2232,0.2231619381330413
MSFT,US,2026-07-20,401.5341,-0.0328,0.2122,0.21218516933726628
BTC-USD,Crypto,2026-01-27,89102.5703,-0.1361,-0.2082,0.2081553834244224
BTC-USD,Crypto,2026-01-31,78621.1172,-0.2025,-0.125,0.20247765614021285
BTC-USD,Crypto,2026-05-26,75825.7344,-0.0296,-0.1965,0.19654364747126785
NVDA,US,2026-03-30,164.9777,0.0783,0.1897,0.18974387669973503
BTC-USD,Crypto,2026-05-27,74344.7031,-0.0407,-0.1813,0.1812810932856893
NVDA,US,2026-04-30,199.3377,0.0598,0.1812,0.18123969193023104
MSFT,US,2026-07-17,393.08,-0.0308,0.18,0.18003149890927683
NVDA,US,2026-07-29,190.01,0.1537,0.1794,0.1793589959281252
BTC-USD,Crypto,2026-05-25,77279.9297,-0.0456,-0.1744,0.1744095203405719
BTC-USD,Crypto,2026-05-31,73579.6875,-0.172,-0.1649,0.1720178484211421
BTC-USD,Crypto,2026-01-29,84561.5859,-0.1056,-0.1691,0.16907037890191534
BTC-USD,Crypto,2026-05-24,76981.125,-0.0469,-0.1684,0.16844074196759273
MSFT,US,2026-01-28,478.5937,-0.14,-0.1604,0.1604136161706773
NVDA,US,2026-07-30,195.04,0.1228,0.1551,0.15514771742855915
0700.HK,Hong Kong,2026-06-23,414.8,0.0362,0.1543,0.15429122922718874
AAPL,US,2026-06-25,274.9129,0.1217,0.146,0.14599317122144284
NVDA,US,2026-04-13,189.0896,0.0673,0.1442,0.14420791439631642
NVDA,US,2026-03-31,174.197,0.044,0.1403,0.14030962915505918
0700.HK,Hong Kong,2026-01-29,614.8366,-0.1021,-0.1391,0.13906758963111365
0700.HK,Hong Kong,2026-03-16,552.0679,-0.1076,-0.1377,0.13769021390634462
NVDA,US,2026-04-06,177.4332,0.0657,0.1375,0.13746903879530747
NVDA,US,2026-04-02,177.1835,0.0634,0.1369,0.1369299090407019
NVDA,US,2026-05-01,198.219,0.0844,0.1354,0.13539939520320998
AAPL,US,2026-07-01,294.1263,0.0742,0.1321,0.13207418354891898
AAPL,US,2026-06-30,289.1107,0.083,0.1318,0.131808172160508
NVDA,US,2026-03-27,167.325,0.0604,0.1301,0.1300740209797544
0700.HK,Hong Kong,2026-07-02,430.2,0.0916,0.1251,0.1250580805820103
0700.HK,Hong Kong,2026-01-30,599.0209,-0.0965,-0.1221,0.12211221559270613
AAPL,US,2026-01-23,247.3667,0.0461,0.1213,0.12127079290144938
0700.HK,Hong Kong,2026-03-17,543.6658,-0.0655,-0.12,0.1199999550936186
AAPL,US,2026-06-26,283.5355,0.1018,0.1182,0.11815488074877645
AAPL,US,2026-06-29,281.4972,0.1026,0.1176,0.11755519589388719
0700.HK,Hong Kong,2026-01-28,613.8481,-0.1014,-0.1176,0.11755227826351178
0700.HK,Hong Kong,2026-07-22,440.6,0.0586,0.1171,0.11711303991991451
AAPL,US,2026-01-21,246.9777,0.0355,0.1165,0.11645451640013582
0700.HK,Hong Kong,2026-06-30,429.8,0.114,0.1028,0.11400651789595417
0700.HK,Hong Kong,2026-06-26,411.8,0.0976,0.1112,0.1112190861296789
AAPL,US,2026-01-22,247.6758,0.04,0.111,0.11097234273412426
AAPL,US,2026-04-29,269.6887,0.0642,0.1072,0.10724859570269185
AAPL,US,2026-07-29,337.8986,-0.0804,-0.1055,0.10550085479379501
